nome,id_pokedex,geracao,status,especie,num_tipos,tipo_primario,tipo_secundario,altura_m,peso_kg,num_habilidades,habilidade_1,habilidade_2,habilidade_escondida,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,taxa_crescimento,porcentagem_macho
Bulbasaur,1,1,Normal,Seed Pokémon,2,Grass,Poison,0.7,6.9,2,Overgrow,,Chlorophyll,318,45,49,49,65,65,45,45,Medium Slow,87.5
Ivysaur,2,1,Normal,Seed Pokémon,2,Grass,Poison,1.0,13.0,2,Overgrow,,Chlorophyll,405,60,62,63,80,80,60,45,Medium Slow,87.5
Venusaur,3,1,Normal,Seed Pokémon,2,Grass,Poison,2.0,100.0,2,Overgrow,,Chlorophyll,525,80,82,83,100,100,80,45,Medium Slow,87.5
Mega Venusaur,3,1,Normal,Seed Pokémon,2,Grass,Poison,2.4,155.5,1,Thick Fat,,,625,80,100,123,122,120,80,45,Medium Slow,87.5
Charmander,4,1,Normal,Lizard Pokémon,1,Fire,,0.6,8.5,2,Blaze,,Solar Power,309,39,52,43,60,50,65,45,Medium Slow,87.5
Charmeleon,5,1,Normal,Flame Pokémon,1,Fire,,1.1,19.0,2,Blaze,,Solar Power,405,58,64,58,80,65,80,45,Medium Slow,87.5
Charizard,6,1,Normal,Flame Pokémon,2,Fire,Flying,1.7,90.5,2,Blaze,,Solar Power,534,78,84,78,109,85,100,45,Medium Slow,87.5
Mega Charizard X,6,1,Normal,Flame Pokémon,2,Fire,Dragon,1.7,110.5,1,Tough Claws,,,634,78,130,111,130,85,100,45,Medium Slow,87.5
Mega Charizard Y,6,1,Normal,Flame Pokémon,2,Fire,Flying,1.7,100.5,1,Drought,,,634,78,104,78,159,115,100,45,Medium Slow,87.5
Squirtle,7,1,Normal,Tiny Turtle Pokémon,1,Water,,0.5,9.0,2,Torrent,,Rain Dish,314,44,48,65,50,64,43,45,Medium Slow,87.5
Wartortle,8,1,Normal,Turtle Pokémon,1,Water,,1.0,22.5,2,Torrent,,Rain Dish,405,59,63,80,65,80,58,45,Medium Slow,87.5
Blastoise,9,1,Normal,Shellfish Pokémon,1,Water,,1.6,85.5,2,Torrent,,Rain Dish,530,79,83,100,85,105,78,45,Medium Slow,87.5
Mega Blastoise,9,1,Normal,Shellfish Pokémon,1,Water,,1.6,101.1,1,Mega Launcher,,,630,79,103,120,135,115,78,45,Medium Slow,87.5
Caterpie,10,1,Normal,Worm Pokémon,1,Bug,,0.3,2.9,2,Shield Dust,,Run Away,195,45,30,35,20,20,45,255,Medium Fast,50.0
Metapod,11,1,Normal,Cocoon Pokémon,1,Bug,,0.7,9.9,1,Shed Skin,,,205,50,20,55,25,25,30,120,Medium Fast,50.0
Butterfree,12,1,Normal,Butterfly Pokémon,2,Bug,Flying,1.1,32.0,2,Compound Eyes,,Tinted Lens,395,60,45,50,90,80,70,45,Medium Fast,50.0
Weedle,13,1,Normal,Hairy Bug Pokémon,2,Bug,Poison,0.3,3.2,2,Shield Dust,,Run Away,195,40,35,30,20,20,50,255,Medium Fast,50.0
Kakuna,14,1,Normal,Cocoon Pokémon,2,Bug,Poison,0.6,10.0,1,Shed Skin,,,205,45,25,50,25,25,35,120,Medium Fast,50.0
Beedrill,15,1,Normal,Poison Bee Pokémon,2,Bug,Poison,1.0,29.5,2,Swarm,,Sniper,395,65,90,40,45,80,75,45,Medium Fast,50.0
Mega Beedrill,15,1,Normal,Poison Bee Pokémon,2,Bug,Poison,1.4,40.5,1,Adaptability,,,495,65,150,40,15,80,145,45,Medium Fast,50.0
Pidgey,16,1,Normal,Tiny Bird Pokémon,2,Normal,Flying,0.3,1.8,3,Keen Eye,Tangled Feet,Big Pecks,251,40,45,40,35,35,56,255,Medium Slow,50.0
Pidgeotto,17,1,Normal,Bird Pokémon,2,Normal,Flying,1.1,30.0,3,Keen Eye,Tangled Feet,Big Pecks,349,63,60,55,50,50,71,120,Medium Slow,50.0
Pidgeot,18,1,Normal,Bird Pokémon,2,Normal,Flying,1.5,39.5,3,Keen Eye,Tangled Feet,Big Pecks,479,83,80,75,70,70,101,45,Medium Slow,50.0
Mega Pidgeot,18,1,Normal,Bird Pokémon,2,Normal,Flying,2.2,50.5,1,No Guard,,,579,83,80,80,135,80,121,45,Medium Slow,50.0
Rattata,19,1,Normal,Mouse Pokémon,1,Normal,,0.3,3.5,3,Run Away,Guts,Hustle,253,30,56,35,25,35,72,255,Medium Fast,50.0
Alolan Rattata,19,1,Normal,Mouse Pokémon,2,Dark,Normal,0.3,3.8,3,Gluttony,Hustle,Thick Fat,253,30,56,35,25,35,72,255,Medium Fast,50.0
Raticate,20,1,Normal,Mouse Pokémon,1,Normal,,0.7,18.5,3,Run Away,Guts,Hustle,413,55,81,60,50,70,97,127,Medium Fast,50.0
Alolan Raticate,20,1,Normal,Mouse Pokémon,2,Dark,Normal,0.7,25.5,3,Gluttony,Hustle,Thick Fat,413,75,71,70,40,80,77,127,Medium Fast,50.0
Spearow,21,1,Normal,Tiny Bird Pokémon,2,Normal,Flying,0.3,2.0,2,Keen Eye,,Sniper,262,40,60,30,31,31,70,255,Medium Fast,50.0
Fearow,22,1,Normal,Beak Pokémon,2,Normal,Flying,1.2,38.0,2,Keen Eye,,Sniper,442,65,90,65,61,61,100,90,Medium Fast,50.0
Ekans,23,1,Normal,Snake Pokémon,1,Poison,,2.0,6.9,3,Intimidate,Shed Skin,Unnerve,288,35,60,44,40,54,55,255,Medium Fast,50.0
Arbok,24,1,Normal,Cobra Pokémon,1,Poison,,3.5,65.0,3,Intimidate,Shed Skin,Unnerve,448,60,95,69,65,79,80,90,Medium Fast,50.0
Pikachu,25,1,Normal,Mouse Pokémon,1,Electric,,0.4,6.0,2,Static,,Lightning Rod,320,35,55,40,50,50,90,190,Medium Fast,50.0
Partner Pikachu,25,1,Normal,Mouse Pokémon,1,Electric,,0.4,6.0,1,,,Lightning Rod,430,45,80,50,75,60,120,190,Medium Fast,50.0
Raichu,26,1,Normal,Mouse Pokémon,1,Electric,,0.8,30.0,2,Static,,Lightning Rod,485,60,90,55,90,80,110,75,Medium Fast,50.0
Alolan Raichu,26,1,Normal,Mouse Pokémon,2,Electric,Psychic,0.7,21.0,1,Surge Surfer,,,485,60,85,50,95,85,110,75,Medium Fast,50.0
Sandshrew,27,1,Normal,Mouse Pokémon,1,Ground,,0.6,12.0,2,Sand Veil,,Sand Rush,300,50,75,85,20,30,40,255,Medium Fast,50.0
Alolan Sandshrew,27,1,Normal,Mouse Pokémon,2,Ice,Steel,0.7,40.0,2,Snow Cloak,,Slush Rush,300,50,75,90,10,35,40,255,Medium Fast,50.0
Sandslash,28,1,Normal,Mouse Pokémon,1,Ground,,1.0,29.5,2,Sand Veil,,Sand Rush,450,75,100,110,45,55,65,90,Medium Fast,50.0
Alolan Sandslash,28,1,Normal,Mouse Pokémon,2,Ice,Steel,1.2,55.0,2,Snow Cloak,,Slush Rush,450,75,100,120,25,65,65,90,Medium Fast,50.0
Nidoran♀,29,1,Normal,Poison Pin Pokémon,1,Poison,,0.4,7.0,3,Poison Point,Rivalry,Hustle,275,55,47,52,40,40,41,235,Medium Slow,0.0
Nidorina,30,1,Normal,Poison Pin Pokémon,1,Poison,,0.8,20.0,3,Poison Point,Rivalry,Hustle,365,70,62,67,55,55,56,120,Medium Slow,0.0
Nidoqueen,31,1,Normal,Drill Pokémon,2,Poison,Ground,1.3,60.0,3,Poison Point,Rivalry,Sheer Force,505,90,92,87,75,85,76,45,Medium Slow,0.0
Nidoran♂,32,1,Normal,Poison Pin Pokémon,1,Poison,,0.5,9.0,3,Poison Point,Rivalry,Hustle,273,46,57,40,40,40,50,235,Medium Slow,100.0
Nidorino,33,1,Normal,Poison Pin Pokémon,1,Poison,,0.9,19.5,3,Poison Point,Rivalry,Hustle,365,61,72,57,55,55,65,120,Medium Slow,100.0
Nidoking,34,1,Normal,Drill Pokémon,2,Poison,Ground,1.4,62.0,3,Poison Point,Rivalry,Sheer Force,505,81,102,77,85,75,85,45,Medium Slow,100.0
Clefairy,35,1,Normal,Fairy Pokémon,1,Fairy,,0.6,7.5,3,Cute Charm,Magic Guard,Friend Guard,323,70,45,48,60,65,35,150,Fast,25.0
Clefable,36,1,Normal,Fairy Pokémon,1,Fairy,,1.3,40.0,3,Cute Charm,Magic Guard,Unaware,483,95,70,73,95,90,60,25,Fast,25.0
Vulpix,37,1,Normal,Fox Pokémon,1,Fire,,0.6,9.9,2,Flash Fire,,Drought,299,38,41,40,50,65,65,190,Medium Fast,25.0
Alolan Vulpix,37,1,Normal,Fox Pokémon,1,Ice,,0.6,9.9,2,Snow Cloak,,Snow Warning,299,38,41,40,50,65,65,190,Medium Fast,25.0
Ninetales,38,1,Normal,Fox Pokémon,1,Fire,,1.1,19.9,2,Flash Fire,,Drought,505,73,76,75,81,100,100,75,Medium Fast,25.0
Alolan Ninetales,38,1,Normal,Fox Pokémon,2,Ice,Fairy,1.1,19.9,2,Snow Cloak,,Snow Warning,505,73,67,75,81,100,109,75,Medium Fast,25.0
Jigglypuff,39,1,Normal,Balloon Pokémon,2,Normal,Fairy,0.5,5.5,3,Cute Charm,Competitive,Friend Guard,270,115,45,20,45,25,20,170,Fast,25.0
Wigglytuff,40,1,Normal,Balloon Pokémon,2,Normal,Fairy,1.0,12.0,3,Cute Charm,Competitive,Frisk,435,140,70,45,85,50,45,50,Fast,25.0
Zubat,41,1,Normal,Bat Pokémon,2,Poison,Flying,0.8,7.5,2,Inner Focus,,Infiltrator,245,40,45,35,30,40,55,255,Medium Fast,50.0
Golbat,42,1,Normal,Bat Pokémon,2,Poison,Flying,1.6,55.0,2,Inner Focus,,Infiltrator,455,75,80,70,65,75,90,90,Medium Fast,50.0
Oddish,43,1,Normal,Weed Pokémon,2,Grass,Poison,0.5,5.4,2,Chlorophyll,,Run Away,320,45,50,55,75,65,30,255,Medium Slow,50.0
Gloom,44,1,Normal,Weed Pokémon,2,Grass,Poison,0.8,8.6,2,Chlorophyll,,Stench,395,60,65,70,85,75,40,120,Medium Slow,50.0
Vileplume,45,1,Normal,Flower Pokémon,2,Grass,Poison,1.2,18.6,2,Chlorophyll,,Effect Spore,490,75,80,85,110,90,50,45,Medium Slow,50.0
Paras,46,1,Normal,Mushroom Pokémon,2,Bug,Grass,0.3,5.4,3,Effect Spore,Dry Skin,Damp,285,35,70,55,45,55,25,190,Medium Fast,50.0
Parasect,47,1,Normal,Mushroom Pokémon,2,Bug,Grass,1.0,29.5,3,Effect Spore,Dry Skin,Damp,405,60,95,80,60,80,30,75,Medium Fast,50.0
